transaction_id,customer_id,product_id,product_name,category,unit_price,quantity,total_amount,discount_percent,transaction_date,payment_method,status,shipping_address_state,device,session_id,revenue,shipping_cost
TXN000001,8,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2025-02-05 12:33:33,Credit Card,Completed,TX,Mobile,SES166240,12.9,3.31
TXN000002,43,104,Python Programming Book,Books,40.5,2,81.0,10,2025-10-12 12:33:33,Debit Card,Completed,WA,Mobile,SES955244,24.3,4.91
TXN000003,54,118,Hiking Backpack 40L,Sports,71.99,1,71.99,10,2025-09-01 12:33:33,Google Pay,Completed,WA,Desktop,SES324164,21.6,1.59
TXN000004,81,111,Organic Protein Powder,Health,54.99,1,54.99,0,2025-01-16 12:33:33,Credit Card,Completed,TX,Mobile,SES169223,16.5,9.87
TXN000005,12,109,Wireless Mouse,Electronics,26.99,1,26.99,10,2024-12-13 12:33:33,Credit Card,Completed,WA,Desktop,SES727959,8.1,7.49
TXN000006,44,104,Python Programming Book,Books,40.5,2,81.0,10,2025-07-06 12:33:33,PayPal,Completed,TX,Tablet,SES830139,24.3,5.83
TXN000007,82,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,2,49.98,0,2025-09-12 12:33:33,Apple Pay,Completed,TX,Desktop,SES713455,14.99,6.73
TXN000008,129,117,Portable Charger 20000mAh,Electronics,35.99,1,35.99,10,2024-07-27 12:33:33,Google Pay,Refunded,NY,Desktop,SES746288,10.8,11.38
TXN000009,63,104,Python Programming Book,Books,45.0,1,45.0,0,2025-02-12 12:33:33,Google Pay,Completed,CA,Desktop,SES622952,13.5,4.45
TXN000010,10,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,1,24.99,0,2025-09-19 12:33:33,Debit Card,Refunded,CO,Mobile,SES444656,7.5,2.01
TXN000011,134,111,Organic Protein Powder,Health,49.49,1,49.49,10,2024-01-11 12:33:33,Apple Pay,Refunded,CA,Mobile,SES340134,14.85,12.7
TXN000012,139,111,Organic Protein Powder,Health,54.99,2,109.98,0,2024-06-29 12:33:33,Credit Card,Refunded,CA,Mobile,SES830100,32.99,10.79
TXN000013,83,120,Data Science Handbook,Books,50.99,1,50.99,15,2025-05-18 12:33:33,Debit Card,Completed,NY,Desktop,SES615524,15.3,1.05
TXN000014,53,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2024-04-24 12:33:33,Debit Card,Completed,PA,Mobile,SES971598,12.9,11.93
TXN000015,110,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2024-02-20 12:33:33,Apple Pay,Completed,PA,Mobile,SES356822,12.9,6.36
TXN000016,148,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-09-19 12:33:33,Apple Pay,Refunded,TX,Desktop,SES919240,18.0,7.22
TXN000017,121,112,Mechanical Keyboard,Electronics,119.99,1,119.99,0,2024-05-21 12:33:33,Apple Pay,Completed,FL,Mobile,SES554484,36.0,11.4
TXN000018,110,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2024-12-26 12:33:33,Credit Card,Cancelled,CA,Mobile,SES260221,30.0,8.29
TXN000019,79,106,Yoga Mat Premium,Sports,35.99,1,35.99,0,2025-03-20 12:33:33,Apple Pay,Completed,MA,Mobile,SES604201,10.8,1.08
TXN000020,40,105,Stainless Steel Water Bottle,Home & Kitchen,22.49,1,22.49,10,2024-06-19 12:33:33,Debit Card,Completed,NY,Mobile,SES865847,6.75,10.88
TXN000021,102,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2025-01-30 12:33:33,PayPal,Completed,GA,Desktop,SES716886,30.0,1.07
TXN000022,99,102,Organic Green Tea (50 bags),Groceries,9.37,1,9.37,25,2024-04-07 12:33:33,Google Pay,Completed,TX,Mobile,SES367657,2.81,11.57
TXN000023,95,112,Mechanical Keyboard,Electronics,119.99,1,119.99,0,2025-04-15 12:33:33,Credit Card,Refunded,MA,Tablet,SES871399,36.0,3.7
TXN000024,8,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2024-12-06 12:33:33,Debit Card,Completed,CO,Tablet,SES254525,30.0,3.81
TXN000025,42,120,Data Science Handbook,Books,59.99,1,59.99,0,2025-10-10 12:33:33,Credit Card,Completed,IL,Mobile,SES503017,18.0,5.97
TXN000026,133,119,Instant Pot 6-Quart,Home & Kitchen,67.49,1,67.49,25,2024-02-22 12:33:33,Debit Card,Completed,PA,Mobile,SES365154,20.25,10.38
TXN000027,98,117,Portable Charger 20000mAh,Electronics,31.99,1,31.99,20,2025-10-06 12:33:33,Google Pay,Completed,WA,Mobile,SES862998,9.6,13.04
TXN000028,37,104,Python Programming Book,Books,40.5,1,40.5,10,2024-11-18 12:33:33,PayPal,Refunded,TX,Tablet,SES517302,12.15,10.49
TXN000029,1,101,Wireless Bluetooth Headphones,Electronics,59.99,1,59.99,25,2025-04-18 12:33:33,Credit Card,Completed,WA,Mobile,SES786315,18.0,4.33
TXN000030,48,114,Resistance Bands Set,Sports,19.99,2,39.98,0,2024-12-19 12:33:33,Debit Card,Completed,GA,Desktop,SES215593,11.99,6.76
TXN000031,47,107,LED Desk Lamp,Electronics,42.99,1,42.99,0,2024-01-31 12:33:33,Debit Card,Completed,WA,Mobile,SES754753,12.9,1.64
TXN000032,97,106,Yoga Mat Premium,Sports,35.99,1,35.99,0,2024-02-27 12:33:33,Credit Card,Completed,IL,Desktop,SES714094,10.8,3.52
TXN000033,3,116,Smart Home Speaker,Electronics,89.99,1,89.99,10,2024-03-14 12:33:33,Credit Card,Completed,NY,Mobile,SES927543,27.0,14.81
TXN000034,97,104,Python Programming Book,Books,45.0,1,45.0,0,2023-12-09 12:33:33,Google Pay,Pending,TX,Tablet,SES596219,13.5,11.35
TXN000035,88,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-12-15 12:33:33,PayPal,Cancelled,CA,Tablet,SES797385,18.0,5.98
TXN000036,85,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-11-30 12:33:33,Credit Card,Completed,CO,Mobile,SES521326,18.0,10.88
TXN000037,136,105,Stainless Steel Water Bottle,Home & Kitchen,24.99,1,24.99,0,2024-04-05 12:33:33,PayPal,Refunded,CA,Desktop,SES748388,7.5,10.29
TXN000038,49,116,Smart Home Speaker,Electronics,99.99,1,99.99,0,2025-10-08 12:33:33,Credit Card,Refunded,TX,Desktop,SES477702,30.0,13.1
TXN000039,125,111,Organic Protein Powder,Health,49.49,1,49.49,10,2024-07-28 12:33:33,Apple Pay,Refunded,IL,Desktop,SES599250,14.85,14.8
TXN000040,50,104,Python Programming Book,Books,40.5,1,40.5,10,2024-09-27 12:33:33,Debit Card,Cancelled,FL,Mobile,SES922987,12.15,12.85
TXN000041,23,117,Portable Charger 20000mAh,Electronics,39.99,1,39.99,0,2025-04-24 12:33:33,PayPal,Cancelled,MI,Tablet,SES589478,12.0,2.52
TXN000042,139,115,Noise Cancelling Earbuds,Electronics,159.99,1,159.99,20,2025-04-08 12:33:33,Debit Card,Completed,TX,Desktop,SES791792,48.0,10.5
TXN000043,42,104,Python Programming Book,Books,45.0,1,45.0,0,2023-12-31 12:33:33,PayPal,Completed,TX,Desktop,SES370143,13.5,9.99
TXN000044,126,104,Python Programming Book,Books,40.5,1,40.5,10,2025-06-01 12:33:33,Credit Card,Cancelled,TX,Mobile,SES703950,12.15,11.5
TXN000045,97,120,Data Science Handbook,Books,59.99,1,59.99,0,2024-11-17 12:33:33,Apple Pay,Refunded,MI,Tablet,SES558188,18.0,12.13
TXN000046,23,108,Coffee Maker 12-Cup,Home & Kitchen,89.99,1,89.99,0,2024-09-24 12:33:33,Credit Card,Completed,TX,Mobile,SES297296,27.0,11.17
TXN000047,81,104,Python Programming Book,Books,45.0,1,45.0,0,2024-04-10 12:33:33,Apple Pay,Pending,NY,Desktop,SES718722,13.5,8.03
TXN000048,94,113,Air Purifier HEPA,Home & Kitchen,149.99,2,299.98,25,2024-10-24 12:33:33,Debit Card,Pending,CA,Desktop,SES109634,89.99,8.07
TXN000049,57,115,Noise Cancelling Earbuds,Electronics,199.99,1,199.99,0,2024-09-30 12:33:33,Apple Pay,Refunded,CO,Desktop,SES397158,60.0,2.19
TXN000050,129,102,Organic Green Tea (50 bags),Groceries,12.49,1,12.49,0,2024-10-13 12:33:33,Credit Card,Completed,GA,Mobile,SES326183,3.75,7.43
TXN000051,40,113,Air Purifier HEPA,Home & Kitchen,199.99,1,199.99,0,2024-11-07 12:33:33,Debit Card,Cancelled,CA,Mobile,SES155119,60.0,13.85
TXN000052,77,106,Yoga Mat Premium,Sports,30.59,1,30.59,15,2025-01-06 12:33:33,Debit Card,Completed,MI,Desktop,SES542957,9.18,10.17
TXN000053,19,112,Mechanical Keyboard,Electronics,107.99,1,107.99,10,2025-01-05 12:33:33,Google Pay,Refunded,CA,Desktop,SES304568,32.4,10.52
TXN000054,83,118,Hiking Backpack 40L,Sports,79.99,1,79.99,0,2024-04-14 12:33:33,Google Pay,Cancelled,CA,Mobile,SES844056,24.0,4.56
TXN000055,124,106,Yoga Mat Premium,Sports,35.99,2,71.98,0,2025-02-26 12:33:33,PayPal,Completed,TX,Desktop,SES884735,21.59,2.93
TXN000056,27,101,Wireless Bluetooth Headphones,Electronics,79.99,1,79.99,0,2025-07-13 12:33:33,Debit Card,Completed,WA,Mobile,SES276394,24.0,13.89
TXN000057,46,104,Python Programming Book,Books,45.0,3,135.0,0,2025-03-31 12:33:33,Credit Card,Completed,FL,Mobile,SES722217,40.5,6.51
TXN000058,63,105,Stainless Steel Water Bottle,Home & Kitchen,22.49,1,22.49,10,2025-01-18 12:33:33,Credit Card,Completed,CA,Desktop,SES417393,6.75,10.32
TXN000059,23,106,Yoga Mat Premium,Sports,32.39,1,32.39,10,2024-12-20 12:33:33,Apple Pay,Cancelled,MA,Desktop,SES784925,9.72,6.68
TXN000060,32,101,Wireless Bluetooth Headphones,Electronics,79.99,1,79.99,0,2024-02-24 12:33:33,Apple Pay,Refunded,FL,Desktop,SES715357,24.0,8.59
TXN000061,25,119,Instant Pot 6-Quart,Home & Kitchen,89.99,2,179.98,0,2025-11-11 12:33:33,Google Pay,Completed,MA,Mobile,SES775908,53.99,10.54
TXN000062,84,110,Fitness Tracker Watch,Electronics,149.99,1,149.99,0,2024-03-12 12:33:33,Credit Card,Refunded,MI,Desktop,SES952353,45.0,10.51
TXN000063,136,113,Air Purifier HEPA,Home & Kitchen,199.99,2,399.98,0,2025-06-03 12:33:33,Apple Pay,Completed,FL,Mobile,SES665163,119.99,10.71
TXN000064,31,104,Python Programming Book,Books,40.5,1,40.5,10,2024-07-01 12:33:33,Debit Card,Cancelled,PA,Desktop,SES568957,12.15,12.01
TXN000065,53,104,Python Programming Book,Books,45.0,1,45.0,0,2025-07-12 12:33:33,Debit Card,Completed,MI,Desktop,SES889649,13.5,0.53
TXN000066,140,104,Python Programming Book,Books,45.0,2,90.0,0,2024-12-08 12:33:33,Debit Card,Completed,NY,Desktop,SES148408,27.0,14.19
TXN000067,137,117,Portable Charger 20000mAh,Electronics,31.99,1,31.99,20,2024-09-27 12:33:33,Apple Pay,Completed,GA,Mobile,SES648055,9.6,13.66
